id,category,subcategory,description
TE-01,Perform reconnaissance and gather information,Perform perimeter network reconnaissance/scanning,Adversary uses commercial or free software to scan organizational perimeters to obtain a better understanding of the information technology infrastructure and improve the ability to launch successful attacks
TE-02,Perform reconnaissance and gather information,Perform network sniffing of exposed networks,Adversary with access to exposed wired or wireless data channels used to transmit information uses network sniffing to identify components resources and protections
TE-03,Perform reconnaissance and gather information,Gather information using open source discovery,Adversary mines publically accessible information to gather information about organizational information systems business processes users or personnel or external relationships
TE-04,Perform reconnaissance and gather information,Perform reconnaissance and surveillance of targeted organizations,Adversary uses various means over time to examine and assess organizations and ascertain points of vulnerability
TE-05,Perform reconnaissance and gather information,Perform malware-directed internal reconnaissance,Adversary uses malware installed inside the organizational perimeter to identify targets of opportunity
TE-06,Craft or create attack tools,Craft phishing attacks,Adversary counterfeits communications from a legitimate/trustworthy source to acquire sensitive information such as usernames passwords or SSNs
TE-07,Craft or create attack tools,Craft spear phishing attacks,Adversary employs phishing attacks targeted at high value targets
TE-08,Craft or create attack tools,Craft attacks specifically based on deployed IT environment,Adversary develops attacks that take advantage of adversary knowledge of the organizational information technology environment
TE-09,Craft or create attack tools,Create counterfeit/spoof website,Adversary creates duplicates of legitimate websites when users visit a counterfeit site the site can gather information or download malware
TE-10,Craft or create attack tools,Craft counterfeit certificates,Adversary counterfeits or compromises a certificate authority so that malware or connections will appear legitimate
TE-11,Craft or create attack tools,Create false front organizations to inject malicious components,Adversary creates false front organizations with the appearance of legitimate suppliers that inject corrupted/malicious information system components into the organizational supply chain
TE-12,Deliver/insert/install malicious capabilities,Deliver known malware to internal systems,Adversary uses common delivery mechanisms to install/insert known malware into organizational information systems
TE-13,Deliver/insert/install malicious capabilities,Deliver modified malware to internal systems,Adversary uses sophisticated delivery mechanisms to deliver malware and possibly modifications of known malware to gain access to internal organizational information systems
TE-14,Deliver/insert/install malicious capabilities,Deliver targeted malware for control and exfiltration,Adversary installs malware specifically designed to take control of internal organizational information systems identify sensitive information exfiltrate the information and conceal these actions
TE-15,Deliver/insert/install malicious capabilities,Deliver malware by providing removable media,Adversary places removable media containing malware in locations where employees are likely to find and use it on organizational information systems
TE-16,Deliver/insert/install malicious capabilities,Insert untargeted malware into downloadable software,Adversary corrupts or inserts malware into common freeware shareware or commercial information technology products
TE-17,Deliver/insert/install malicious capabilities,Insert targeted malware into organizational systems,Adversary inserts malware into organizational information systems and components specifically targeted to the hardware software and firmware used by organizations
TE-18,Deliver/insert/install malicious capabilities,Insert specialized malware based on system configurations,Adversary inserts specialized non-detectable malware into organizational information systems based on system configurations specifically targeting critical information system components
TE-19,Deliver/insert/install malicious capabilities,Insert counterfeit or tampered hardware into supply chain,Adversary intercepts hardware from legitimate suppliers and modifies the hardware or replaces it with faulty or otherwise modified hardware
TE-20,Deliver/insert/install malicious capabilities,Insert tampered critical components into systems,Adversary replaces through supply chain subverted insider or combination thereof critical information system components with modified or corrupted components
TE-21,Deliver/insert/install malicious capabilities,Install general-purpose sniffers on systems or networks,Adversary installs sniffing software onto internal organizational information systems or networks
TE-22,Deliver/insert/install malicious capabilities,Install persistent and targeted sniffers,Adversary places within internal organizational information systems or networks software designed to collect network traffic over a continuous period of time
TE-23,Deliver/insert/install malicious capabilities,Insert malicious scanning devices inside facilities,Adversary uses delivery services to deliver to organizational mailrooms a device that can scan wireless communications and wirelessly transmit information back to adversary
